Coordinate Number, RA_CTR, DEC_CTR, Radius 
0, 171.5078644059142, -13.418394634146342, 10800 
1, 260.9054565064281, -25.98657793181818, 10800 
2, 166.0508526525101, -68.38872099999999, 10800 
3, 114.09591431894458, -62.32543525000001, 10800 
4, 116.06439240403814, -72.68725992452829, 10800 
5, 302.8146138896828, -60.78654745238096, 10800 
6, 0.6124810929295066, -33.7141256744186, 10800 
7, 311.9592995436656, -72.79902769090909, 10800 
8, 350.71734272352484, -33.52960713953488, 10800 
9, 350.51122818092824, -60.55585560377359, 10800 
10, 25.024457468168094, -31.830005359281447, 10800 
11, 258.21480814049335, 15.046204, 10800 
1, 139.7471695032157, -13.418394634146342, 10800 
2, 40.48105581694636, -25.98657793181818, 10800 
3, 309.05104512183544, -68.38872099999999, 10800 
4, 344.0594944761422, -62.32543525000001, 10800 
5, 274.0436688415183, -72.68725992452829, 10800 
6, 194.71763640627825, -60.78654745238096, 10800 
7, 242.29779561343585, -33.7141256744186, 10800 
8, 25.964729494977938, -72.79902769090909, 10800 
9, 147.77301195281447, -33.52960713953488, 10800 
10, 198.54921103203276, -60.55585560377359, 10800 
11, 90.0794369435001, -31.830005359281447, 10800 
12, 21.549693228217354, 15.046204, 10800 
2, 350.45126852094427, -13.418394634146342, 10800 
3, 73.98942912378325, -25.98657793181818, 10800 
4, 69.56470285992867, -68.38872099999999, 10800 
5, 34.138934719272726, -62.32543525000001, 10800 
6, 269.55606285561913, -72.68725992452829, 10800 
7, 88.28022966170158, -60.78654745238096, 10800 
8, 319.5944754474582, -33.7141256744186, 10800 
9, 219.36839186659597, -72.79902769090909, 10800 
10, 225.30293924374453, -33.52960713953488, 10800 
11, 344.74046029176424, -60.55585560377359, 10800 
12, 87.572865845569, -31.830005359281447, 10800 
13, 310.25336652869856, 15.046204, 10800 
