Coordinate Number, RA_CTR, DEC_CTR, Radius 
0, 169.68102449682164, -13.418394634146342, 10800 
1, 137.78082988181774, -25.98657793181818, 10800 
2, 27.981221129718314, -68.38872099999999, 10800 
3, 211.52298964142463, -62.32543525000001, 10800 
4, 107.08334342081695, -72.68725992452829, 10800 
5, 110.95326211074533, -60.78654745238096, 10800 
6, 225.88395944106708, -33.7141256744186, 10800 
7, 259.2724742451437, -72.79902769090909, 10800 
8, 304.7930968621387, -33.52960713953488, 10800 
9, 279.73636167345336, -60.55585560377359, 10800 
10, 281.72192167531557, -31.830005359281447, 10800 
11, 153.7915998605829, 15.046204, 10800 
1, 260.0030274524966, -13.418394634146342, 10800 
2, 339.29624566814107, -25.98657793181818, 10800 
3, 261.8874229492495, -68.38872099999999, 10800 
4, 161.0547558677177, -62.32543525000001, 10800 
5, 205.52697203849002, -72.68725992452829, 10800 
6, 146.86953219760417, -60.78654745238096, 10800 
7, 47.07868853060467, -33.7141256744186, 10800 
8, 339.2276945368357, -72.79902769090909, 10800 
9, 177.5749290253529, -33.52960713953488, 10800 
10, 56.74915673619006, -60.55585560377359, 10800 
11, 169.41707345834143, -31.830005359281447, 10800 
12, 210.47225463888384, 15.046204, 10800 
2, 19.48595724338783, -13.418394634146342, 10800 
3, 214.42044713142351, -25.98657793181818, 10800 
4, 309.84507054340423, -68.38872099999999, 10800 
5, 62.48227509561075, -62.32543525000001, 10800 
6, 9.960669707949359, -72.68725992452829, 10800 
7, 200.81077375991117, -60.78654745238096, 10800 
8, 82.70818912744026, -33.7141256744186, 10800 
9, 37.21853638382993, -72.79902769090909, 10800 
10, 59.48312351054719, -33.52960713953488, 10800 
11, 309.799097934445, -60.55585560377359, 10800 
12, 68.60867593714504, -31.830005359281447, 10800 
13, 77.47550622024713, 15.046204, 10800 
